2007
January,19.5(14.7, 13.0),16.1(5.4, 4.7),0.3
June,40.8(4.2, 3.2),13.7(0.2, 0.1),0.2
July,0.0(0.0, 0.0),5.0(0.1, 0.1),
October,3.6(5.1, 3.6),16.1(0.2, 0.1),
November,28.8(8.0, 5.8),15.7(0.0, 0.0),
