WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
1/01/2012 11:50,N/A,161,25,0.1,1006.7,1010.1,1010.3,0,50.4,4,567,29.7,27.6,27.5,26.2,7,26.42
1/01/2012 12:00,N/A,151,35,0.1,1006.7,1010.1,1010.3,0,51.4,5,422,29.9,27.6,27.5,26.2,9,26.15
1/01/2012 12:10,N/A,142,26,0,1006.6,1010,1010.2,0,52.5,4,335,30,27.6,27.5,26.2,8,25.69
1/01/2012 12:20,N/A,145,34,0.1,1006.5,1009.9,1010.1,0,53.3,4,286,30.2,27.6,27.5,26.2,7,25.58
13/03/2012 4:50,N/A,178,17,0,1006.2,1009.6,1009.8,0,74.9,6,25,28,29.8,28.9,27.7,8,20.44
13/03/2012 5:00,N/A,182,32,0,1006.2,1009.6,1009.8,0,74.2,6,23,28,29.8,28.9,27.7,9,20.51
13/03/2012 5:10,N/A,180,18,0,1006.4,1009.8,1010,0,73.6,6,19,27.9,29.7,28.9,27.7,9,20.52
